Data,"Base de instalações (Todos os dispositivos, Dispositivos únicos, Por intervalo, Diária): Todos os países / todas as regiões","Base de instalações (Todos os dispositivos, Dispositivos únicos, Por intervalo, Diária): Brasil",Observações
13 de mar. de 2026,174,174,"Mudança nos dados de relatórios: Atualizamos nossas métricas de aquisição e instalação para: <ul> <li> incluir todos os tipos de conta, como contas supervisionadas e corporativas </li> <li> filtrar mais contas de spam </li> <li> contar com mais precisão dispositivos com vários usuários </li> <li> contar com mais precisão usuários com vários dispositivos </li> <li> detectar melhor desativações e reativações de dispositivos </li> </ul> Como resultado dessa atualização, talvez você note uma mudança nas suas métricas a partir dessa data."
14 de mar. de 2026,172,172,
15 de mar. de 2026,174,174,
16 de mar. de 2026,184,184,
17 de mar. de 2026,189,189,
18 de mar. de 2026,194,194,
19 de mar. de 2026,191,191,
20 de mar. de 2026,200,200,
21 de mar. de 2026,201,201,
22 de mar. de 2026,214,214,
23 de mar. de 2026,206,206,
24 de mar. de 2026,214,214,
25 de mar. de 2026,210,210,
26 de mar. de 2026,214,214,
27 de mar. de 2026,223,223,Lançamento da versão: Início do lançamento de 32 (2.1.12) em 20%. Lançamento da versão: Início do lançamento de 33 (2.1.13) em 100%. Lançamento da versão: Início do lançamento de 34 (2.1.14) em 100%. Lançamento da versão: Início do lançamento de 36 (2.1.15) em 100%.
28 de mar. de 2026,224,224,
29 de mar. de 2026,231,231,
30 de mar. de 2026,226,226,Lançamento da versão: Início do lançamento de 37 (2.1.16) em 20%.
31 de mar. de 2026,229,229,Lançamento da versão: Início do lançamento de 39 (2.1.17) em 100%. Lançamento da versão: Início do lançamento de 40 (2.1.18) em 100%. Lançamento da versão: Início do lançamento de 41 (2.1.19) em 100%. Lançamento da versão: Início do lançamento de 42 (2.1.20) em 100%. Lançamento da versão: Início do lançamento de 43 (2.1.21) em 100%. Lançamento da versão: Interrupção do lançamento de 43 (2.1.21). Lançamento da versão: Início do lançamento de 45 (2.1.22) em 100%.
1 de abr. de 2026,240,240,
2 de abr. de 2026,236,236,
3 de abr. de 2026,250,249,
4 de abr. de 2026,251,249,
5 de abr. de 2026,259,256,
6 de abr. de 2026,259,254,
7 de abr. de 2026,262,257,
8 de abr. de 2026,266,260,
9 de abr. de 2026,265,259,
10 de abr. de 2026,273,266,
11 de abr. de 2026,273,265,
12 de abr. de 2026,291,282,
13 de abr. de 2026,284,273,
14 de abr. de 2026,286,276,
15 de abr. de 2026,306,294,
